"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Group_Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Numeric_Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Tags_Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Sentiment_Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Kebersihan, Kenyamanan, dan Keamanan-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Kebersihan, Kenyamanan, dan Keamanan-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_1","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_2","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_3","Hal apa saja dari Kebersihan, Kenyamanan, dan Keamanan kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_4","Hal apa saja dari Kebersihan, Kenyamanan, dan Keamanan kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_5","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Trigger Time","Response Imports","Campaign Id"
"1","IDM","TMII","TOILET","Kereta Gantung B","IDM-TMII-TOILET -Kereta Gantung B-01","4","Satisfied","4","Kasih pewangi","Odor Control and Air Quality|Provision of Toiletry Supplies (Tissue, Soap, Disinfectant)","Neutral","4","4","4","4","4","4","Memiliki penampilan yang bersih dan rapi|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Melayani dengan cepat dan tepat",,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Urinoir bersih dan mudah digunakan|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik",,,,"Toilet nyaman digunakan oleh pengunjung",,,,"8337dd00-ae1a-4485-ad51-1a01857f284c","Completed","New","07-12-2025 16:44:14","Anonymous","189536",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-12-07T09:41:04.6179Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"2","IDM","TMII","TOILET","Panggung Budaya","IDM-TMII-TOILET -Panggung Budaya-01","5","Satisfied","5","jujurly suka sama toiletnya bener bersih wangi banget, suka banget sama harum nya, tempat nya juga sejuk cantik banget depannya ada danau bagus banget buat foto.","Cleanliness and Hygiene of Toilets|Odor Control and Air Quality|Comfort and Ambience (Lighting, Ventilation, Sound)","Positive","4","4","4","4","5","5","Memiliki penampilan yang bersih dan rapi|Lainnya","Baik, sopan, sempet minta bantu fotoin saya juga, makasi mas.",,,"Urinoir bersih dan mudah digunakan|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Tisu tersedia dengan cukup untuk digunakan|Pengharum ruangan berfungsi dengan baik sehingga toilet terasa segar",,,,"Toilet bersih dan terawat dengan baik",,,,"6636a36f-c054-47a5-a43b-d3f2da087e2a","Completed","New","06-12-2025 11:32:53","Anonymous","458776",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-12-06T04:25:14.3512Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"3","IDM","PRAMBANAN","TOILET","D","IDM-PRAMBANAN-TOILET-D-01","5","Satisfied","5","apakah benar dikenakan biaya untuk menggunakan fasilitas toilet?
apakah ini tidak termasuk ke dalam fasilitas tiket masuk?
atau ulah oknum semata","Suggestions for Future Upgrades and Management|Availability and Quantity of Toilets","Neutral","3","3","4","4","3","3",,,"Lainnya","tidak ada","Lainnya","tidak ada",,,,,"Lainnya","tidak ada","97ece7ea-12cb-49c1-9e96-bb576c3c60aa","Completed","New","06-12-2025 07:39:20","Anonymous","121836",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-12-06T00:37:20.0475Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"4","IDM","BOROBUDUR","TOILET","Concrouse","IDM-BOROBUDUR-TOILET-Concrouse-01","1","Not Satisfied","1","Pengunjung dilarang merokok tp petugas pd merokok di loket","Staff Performance and Service Quality","Negative","1","1","1","1","1","1",,,"Lainnya","Itu saja",,,"Toilet duduk dan jongkok kotor atau tidak berfungsi dengan baik",,,,"Toilet kotor atau kurang terawat",,"494c96da-d4c6-4ddf-9555-59dc810d8dfb","Completed","New","05-12-2025 15:08:36","Anonymous","81676",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-12-05T08:07:17.9429Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"5","IDM","PRAMBANAN","TOILET","D","IDM-PRAMBANAN-TOILET-D-01","3","Neutral","3","Harus ada pegawai pembersih toilet membersihkan tiap 3jam sekali, karna pengunjung banyak yg tidak biasa menyiram ketika selesai menggunakan. Agar tetap bersih dan wangi","Cleanliness and Hygiene of Toilets|Toilet Maintenance and Repairs|Provision of Toiletry Supplies (Tissue, Soap, Disinfectant)","Positive","3","3","4","4","2","2",,,"Tidak membantu dan memastikan kesiapan fasilitas",,"Lainnya","Bau dan tidak bersih",,,,,"Toilet kotor atau kurang terawat",,"a0e106d4-af89-44b4-b66e-65e4be9f1b49","Completed","New","04-12-2025 12:05:18","Anonymous","136187",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-12-04T05:03:01.9517Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"6","IDM","PRAMBANAN","TOILET","H","IDM-PRAMBANAN-TOILET-H-01","3","Neutral","3","Terlalu gelap dan tidak ada kaca","Comfort and Ambience (Lighting, Ventilation, Sound)","Negative","3","3","5","5","4","4",,,"Lainnya","Gg tahu","Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna",,,,"Toilet nyaman digunakan oleh pengunjung",,,,"850a39e9-e5f8-4c79-b917-c3f3731d6e8d","Completed","New","01-12-2025 16:09:18","Anonymous","231454",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-12-01T09:05:26.5335Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"7","IDM","TMII","TOILET","Plaza Utara","IDM-TMII-TOILET -Plaza Utara-01","1","Not Satisfied","1","Yang deket mushola, keran wudhunya kagak ada tuas, kacau banget, gimana mau wudhu","Special Needs and Religious Facilities (Wudhu Areas, Mushola)","Negative","1","1","1","1","3","3",,,"Tidak melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Tidak melayani dengan cepat dan tepat|Tidak membantu dan memastikan kesiapan fasilitas",,,,"Air tidak tersedia atau mengalir dengan tidak lancar|Lainnya","Keran wudhunya kagak ada tuas, gimana mau wudhu, ini di mushola dekat pintu utama",,,"Lainnya","Keran wudhu di mushola kagak ada tuas, gimana mau wudhu","b883feed-1d70-483e-a563-316fa3662bfe","Completed","New","30-11-2025 18:26:15","Anonymous","143605",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-11-30T11:23:51.6559Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"8","IDM","TMII","TOILET","Elevated  Parking Basement Zona 3","IDM-TMII-TOILET -Elevated  Parking Basement Zona 3-01","2","Not Satisfied","2","tambahin toilet nya, toiletnya dikit amat si gedung parkiran Segede ini, tapi toiletnya dikit banget","Availability and Quantity of Toilets","Negative","5","5","3","3","4","4","Memiliki penampilan yang bersih dan rapi|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Melayani dengan cepat dan tepat",,,,,,"Lainnya","perbanyak toiletnya, di gedung parkiran bagian basement knp ada toilet yg ditutup?sayang banget padahal KLO kondisi rame kasian petugasnya","Toilet bersih dan terawat dengan baik",,,,"37a47f6e-d58c-42e0-b04b-7e31dc5b8c00","Completed","New","30-11-2025 14:01:51","Anonymous","125903",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-11-30T06:59:44.9856Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"9","IDM","TMII","TOILET","Kereta Gantung B","IDM-TMII-TOILET -Kereta Gantung B-01","2","Not Satisfied","2","toiletnya kurang bersih","Cleanliness and Hygiene of Toilets","Negative","2","2","2","2","2","2",,,"Tidak membantu dan memastikan kesiapan fasilitas",,,,"Pengharum ruangan tidak berfungsi sehingga toilet berbau tidak sedap|Tempat sampah tidak tersedia atau jarang dikosongkan",,,,"Toilet kurang aman atau tidak memberikan privasi yang cukup bagi pengguna",,"2bb66fcd-ea1e-47e2-a065-0f18d18b4fc4","Completed","New","30-11-2025 07:19:39","Anonymous","63864",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-11-30T00:18:35.0290Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"10","IDM","PRAMBANAN","TOILET","F","IDM-PRAMBANAN-TOILET-F-01","4","Satisfied","4","Tidak ada tisu kering, karna itu sangat dibutuhkan untuk ditoilet","Provision of Toiletry Supplies (Tissue, Soap, Disinfectant)","Negative","3","3","3","3","3","3",,,"Lainnya","Tidak ada staff",,,"Tisu tidak tersedia",,,,"Toilet kurang nyaman digunakan oleh pengunjung",,"06d80183-93d0-4f61-b3ac-ce8c2b700279","Completed","New","29-11-2025 17:23:21","Anonymous","110500",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-11-29T10:21:30.2005Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
