"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas Shuttle kami?","Group_Seberapa puas Bapak / Ibu terhadap fasilitas Shuttle kami?","Numeric_Seberapa puas Bapak / Ibu terhadap fasilitas Shuttle kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Shuttle kami (Opsional)","Tags_Silakan berikan saran dan masukan Anda terkait fasilitas Shuttle kami (Opsional)","Sentiment_Silakan berikan saran dan masukan Anda terkait fasilitas Shuttle kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Shuttle kami","Numeric_Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Shuttle kami","Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Shuttle kami","Numeric_Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Shuttle kami","Kebersihan, Kenyamanan, dan Kemudahan Akses-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Shuttle kami","Numeric_Kebersihan, Kenyamanan, dan Kemudahan Akses-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Shuttle kami","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_1","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_2","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_3","Hal apa saja dari Kebersihan, Kenyamanan, dan Kemudahan Akses kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_4","Hal apa saja dari Kebersihan, Kenyamanan, dan Kemudahan Akses kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_5","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Trigger Time","Campaign Id"
"1","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01","5","Satisfied","5","sangat rekomended","Overall Satisfaction and Recommendations","Positive","5","5","5","5","5","5","Memberikan rasa aman|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna|Fasilitas shuttle lengkap dan mendukung kenyamanan serta kebutuhan pengguna",,,,"Shuttle bersih dan terawat dengan baik|Shuttle nyaman digunakan oleh penumpang|Akses menuju shuttle mudah dan jelas bagi pengguna",,,,"579fca42-f3e6-45f5-9cdd-04501cf79168","Completed","New","23-12-2025 15:49:50","Anonymous","65580",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2025-12-23T08:48:44.2389Z",,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"2","IDM","TMII","SHUTTLE","LRT 2","IDM-TMII-SHUTTLE -LRT 2-01","5","Satisfied","5","Pelayanan yang diberikan amat sangat baik, saya datang bersama ke tiga adek saya, petugasnya ramah -ramah dan menjelaskan dengan sangat detail. Terimakasih kepada semua karyawan TMII. Sukses selalu.","Staff Friendliness and Service Quality","Positive","5","5","5","5","5","5","Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Membantu dan memastikan kesiapan fasilitas|Memiliki penampilan yang bersih dan rapi",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna|Fasilitas shuttle lengkap dan mendukung kenyamanan serta kebutuhan pengguna",,,,"Shuttle bersih dan terawat dengan baik|Shuttle nyaman digunakan oleh penumpang|Akses menuju shuttle mudah dan jelas bagi pengguna",,,,"5d10c156-5c3f-47dc-807e-f6daf9cb53b4","Completed","New","23-12-2025 15:29:35","Anonymous","212399",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2025-12-23T08:26:01.6656Z",,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"3","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01","4","Satisfied","4",,,,"5","5","5","5","5","5","Memberikan rasa aman|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna|Fasilitas shuttle lengkap dan mendukung kenyamanan serta kebutuhan pengguna",,,,"Shuttle bersih dan terawat dengan baik|Shuttle nyaman digunakan oleh penumpang|Akses menuju shuttle mudah dan jelas bagi pengguna",,,,"5e1cc6f1-4680-476e-82e0-6e9a3fded566","Completed","New","23-12-2025 15:15:41","Anonymous","60363",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2025-12-23T08:14:41.2291Z",,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"4","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01","5","Satisfied","5",,,,"5","5","5","5","5","5","Memberikan rasa aman|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna|Fasilitas shuttle lengkap dan mendukung kenyamanan serta kebutuhan pengguna",,,,"Shuttle bersih dan terawat dengan baik|Shuttle nyaman digunakan oleh penumpang",,,,"54a180b2-a12b-4158-a691-18b160bcc670","Completed","New","23-12-2025 15:14:31","Anonymous","64180",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2025-12-23T08:13:24.6843Z",,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"5","IDM","TMII","SHUTTLE","LRT 2","IDM-TMII-SHUTTLE -LRT 2-01","5","Satisfied","5","-",,"Neutral","5","5","5","5","5","5","Memberikan rasa aman|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas shuttle lengkap dan mendukung kenyamanan serta kebutuhan pengguna|Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna",,,,"Shuttle bersih dan terawat dengan baik|Shuttle nyaman digunakan oleh penumpang|Akses menuju shuttle mudah dan jelas bagi pengguna",,,,"48731a7e-66ec-4a46-a2f0-0014aee64788","Completed","New","23-12-2025 15:12:39","Anonymous","76721",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2025-12-23T08:11:24.3494Z",,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"6","IDM","TMII","SHUTTLE","LRT 2","IDM-TMII-SHUTTLE -LRT 2-01","5","Satisfied","5","sudah bagus","Overall Satisfaction and Recommendations","Positive","5","5","5","5","5","5","Memberikan rasa aman|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Membantu dan memastikan kesiapan fasilitas|Melayani dengan cepat dan tepat",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna",,,,"Shuttle bersih dan terawat dengan baik|Shuttle nyaman digunakan oleh penumpang|Akses menuju shuttle mudah dan jelas bagi pengguna",,,,"4f189b7b-eeb9-4169-97a3-b2526347eff7","Completed","New","23-12-2025 15:12:37","Anonymous","80133",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2025-12-23T08:11:16.7785Z",,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"7","IDM","TMII","SHUTTLE","LRT 2","IDM-TMII-SHUTTLE -LRT 2-01","5","Satisfied","5",,,,"5","5","5","5","5","5","Memberikan rasa aman",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna",,,,"Shuttle bersih dan terawat dengan baik",,,,"1f8639a3-9f50-4045-b741-4f22c0e01411","Completed","New","23-12-2025 15:12:12","Anonymous","19995",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2025-12-23T08:11:51.9426Z",,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"8","IDM","TMII","SHUTTLE","LRT 2","IDM-TMII-SHUTTLE -LRT 2-01","4","Satisfied","4","Puas","Overall Satisfaction and Recommendations","Positive","4","4","4","4","4","4","Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna",,,,"Akses menuju shuttle mudah dan jelas bagi pengguna",,,,"888ad233-86ca-4179-a38f-cd4ee235e3c0","Completed","New","23-12-2025 14:57:51","Anonymous","92670",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2025-12-23T07:56:18.1773Z",,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"9","IDM","TMII","SHUTTLE","LRT 2","IDM-TMII-SHUTTLE -LRT 2-01","4","Satisfied","4","Ok",,"Neutral","4","4","4","4","4","4","Memberikan rasa aman|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna|Fasilitas shuttle lengkap dan mendukung kenyamanan serta kebutuhan pengguna",,,,"Shuttle bersih dan terawat dengan baik|Shuttle nyaman digunakan oleh penumpang|Akses menuju shuttle mudah dan jelas bagi pengguna",,,,"c582b0d5-cc01-40bb-ac77-f420e4593464","Completed","New","23-12-2025 14:57:31","Anonymous","77045",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2025-12-23T07:56:13.5151Z",,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"10","IDM","TMII","SHUTTLE","LRT 2","IDM-TMII-SHUTTLE -LRT 2-01","4","Satisfied","4","baik","Overall Satisfaction and Recommendations","Positive","4","4","4","4","4","4","Memberikan rasa aman|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna",,,,"Shuttle bersih dan terawat dengan baik|Shuttle nyaman digunakan oleh penumpang",,,,"8c5e5498-14ec-4262-b0fc-e15cd9ced2b6","Completed","New","23-12-2025 14:57:02","Anonymous","68737",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2025-12-23T07:55:53.4428Z",,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
