"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas Shuttle kami?","Group_Seberapa puas Bapak / Ibu terhadap fasilitas Shuttle kami?","Numeric_Seberapa puas Bapak / Ibu terhadap fasilitas Shuttle kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Shuttle kami (Opsional)","Tags_Silakan berikan saran dan masukan Anda terkait fasilitas Shuttle kami (Opsional)","Sentiment_Silakan berikan saran dan masukan Anda terkait fasilitas Shuttle kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Shuttle kami","Numeric_Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Shuttle kami","Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Shuttle kami","Numeric_Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Shuttle kami","Kebersihan, Kenyamanan, dan Kemudahan Akses-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Shuttle kami","Numeric_Kebersihan, Kenyamanan, dan Kemudahan Akses-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Shuttle kami","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_1","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_2","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_3","Hal apa saja dari Kebersihan, Kenyamanan, dan Kemudahan Akses kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_4","Hal apa saja dari Kebersihan, Kenyamanan, dan Kemudahan Akses kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_5","Apakah Bapak/Ibu memberikan persetujuan atas pengumpulan dan penggunaan data pribadi Anda agar kami bisa menindaklanjuti masukan Anda?Dengan telah membaca form consent sesuai link berikut, maka anda telah dinyatakan membaca dengan seksama form customer consent sebagaimana link di bawah:Persetujuan Form TMII","Nama Bapak / Ibu","Nomor Whatsapp untuk kami tindaklanjuti masukan yang diberikan","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Campaign Id"
"1","IDM","TMII","SHUTTLE","LRT 2","IDM-TMII-SHUTTLE -LRT 2-01","5","Satisfied","5",,,,"5","5","5","5","4","4","Memberikan rasa aman|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Melayani dengan cepat dan tepat",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna|Fasilitas shuttle lengkap dan mendukung kenyamanan serta kebutuhan pengguna",,,,"Shuttle bersih dan terawat dengan baik|Shuttle nyaman digunakan oleh penumpang|Akses menuju shuttle mudah dan jelas bagi pengguna",,,,"Tidak, saya tidak bersedia",,,"ae2fc100-533d-471a-b79b-c2d070ccdeef","Completed","New","09-04-2026 19:24:31","Anonymous","33631",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2026-04-09T12:23:56.5655Z",,,,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"2","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01","5","Satisfied","5","Saran dari saya, untuk mesin mungkin harus diperiksa secara berkala agar tidak terlalu berisik suara mesinnya","Safety and Security Measures","Neutral","5","5","4","4","4","4","Memberikan rasa aman|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas shuttle lengkap dan mendukung kenyamanan serta kebutuhan pengguna",,,,"Shuttle bersih dan terawat dengan baik",,,,"Tidak, saya tidak bersedia",,,"3498073c-ff6e-4610-bfe5-c643cba78d53","Completed","New","09-04-2026 17:52:02","Anonymous","63552",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2026-04-09T10:50:59.0902Z",,,,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"3","IDM","TMII","SHUTTLE","LRT 2","IDM-TMII-SHUTTLE -LRT 2-01","5","Satisfied","5","Sudah cukup karena driver dapat memberi informasi kepada tamu","Staff Friendliness and Service Quality","Positive","5","5","4","4","5","5","Memberikan rasa aman|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Melayani dengan cepat dan tepat",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna|Fasilitas shuttle lengkap dan mendukung kenyamanan serta kebutuhan pengguna",,,,"Shuttle nyaman digunakan oleh penumpang|Akses menuju shuttle mudah dan jelas bagi pengguna",,,,"Tidak, saya tidak bersedia",,,"dfa52851-1644-4979-a191-aa4f770e6d51","Completed","New","09-04-2026 16:31:17","Anonymous","63086",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2026-04-09T09:30:13.2588Z",,,,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"4","IDM","TMII","SHUTTLE","LRT 2","IDM-TMII-SHUTTLE -LRT 2-01","5","Satisfied","5","keren",,"Positive","5","5","5","5","5","5","Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Memiliki penampilan yang bersih dan rapi",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna",,,,"Shuttle bersih dan terawat dengan baik|Shuttle nyaman digunakan oleh penumpang",,,,"Tidak, saya tidak bersedia",,,"0a5235e6-28fa-4050-b88a-b52ea3474703","Completed","New","09-04-2026 14:54:55","Anonymous","17845",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2026-04-09T07:54:37.2993Z",,,,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"5","IDM","TMII","SHUTTLE","LRT 2","IDM-TMII-SHUTTLE -LRT 2-01","5","Satisfied","5","seru banget mobil shuttle sekarang, tpi agak takut juga sih karna gada pintunya","Safety and Security Measures","Positive","5","5","5","5","5","5","Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Memberikan informasi dengan jelas dan akurat",,,,"Fasilitas shuttle lengkap dan mendukung kenyamanan serta kebutuhan pengguna",,,,"Shuttle bersih dan terawat dengan baik",,,,"Tidak, saya tidak bersedia",,,"0275289e-3849-41f7-8c8e-5c7bf85b2b91","Completed","New","09-04-2026 14:54:34","Anonymous","81432",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2026-04-09T07:53:12.5934Z",,,,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"6","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01","4","Satisfied","4","shuttle nya sekarang berubah jadi kaya odong odong tapi seruu","Overall Satisfaction and Recommendations|Suggestions for Service Improvement (More Shuttles, Faster Service)","Positive","5","5","5","5","5","5","Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna",,,,"Shuttle nyaman digunakan oleh penumpang",,,,"Tidak, saya tidak bersedia",,,"c9d167de-9185-452c-9d50-0e73df26007e","Completed","New","09-04-2026 14:52:55","Anonymous","94481",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2026-04-09T07:51:20.8004Z",,,,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"7","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01","5","Satisfied","5","seruu","Overall Satisfaction and Recommendations","Neutral","5","5","5","5","5","5","Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna",,,,"Shuttle bersih dan terawat dengan baik",,,,"Tidak, saya tidak bersedia",,,"05c91d2c-3d84-47c7-af1c-64a9e11390a0","Completed","New","09-04-2026 14:51:18","Anonymous","35521",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2026-04-09T07:50:42.4766Z",,,,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"8","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01","5","Satisfied","5","seru banget kaya naik odong odong","Overall Satisfaction and Recommendations","Positive","5","5","5","5","5","5","Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Melayani dengan cepat dan tepat",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna",,,,"Shuttle nyaman digunakan oleh penumpang",,,,"Tidak, saya tidak bersedia",,,"14d6aa83-0d28-4242-893c-8165c906f0da","Completed","New","09-04-2026 14:50:40","Anonymous","30986",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2026-04-09T07:50:09.2348Z",,,,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"9","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01","5","Satisfied","5","shuttlenya enak gakperlu nunggu lama buat jalan","Punctuality and Waiting Time","Positive","5","5","5","5","5","5","Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna|Fasilitas shuttle lengkap dan mendukung kenyamanan serta kebutuhan pengguna",,,,"Akses menuju shuttle mudah dan jelas bagi pengguna|Shuttle nyaman digunakan oleh penumpang|Shuttle bersih dan terawat dengan baik",,,,"Tidak, saya tidak bersedia",,,"1c4c2347-946b-4277-94d3-0e25af6922a3","Completed","New","09-04-2026 13:23:33","Anonymous","40423",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2026-04-09T06:22:52.8574Z",,,,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
"10","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01","5","Satisfied","5","tidak terlalu lama untuk menunggu kendaraan","Punctuality and Waiting Time","Positive","5","5","5","5","5","5","Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Melayani dengan cepat dan tepat",,,,"Fasilitas shuttle tersedia dengan baik dan mudah diakses oleh pengguna|Fasilitas shuttle lengkap dan mendukung kenyamanan serta kebutuhan pengguna",,,,"Shuttle bersih dan terawat dengan baik|Akses menuju shuttle mudah dan jelas bagi pengguna",,,,"Tidak, saya tidak bersedia",,,"435c8002-3ab3-4c52-9ddb-46031db462f6","Completed","New","09-04-2026 13:18:57","Anonymous","35239",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","f931894b-7909-4b02-9689-940cb25887a0",,,"true","False","QrCode","Bahasa","2026-04-09T06:18:21.9561Z",,,,,,,,,,,,,,,,"68b5ae861f3cc3c03afa5862"
