"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap layanan Information Center kami?","Group_Seberapa puas Bapak / Ibu terhadap layanan Information Center kami?","Numeric_Seberapa puas Bapak / Ibu terhadap layanan Information Center kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Information Center kami (Opsional)","Tags_Silakan berikan saran dan masukan Anda terkait fasilitas Information Center kami (Opsional)","Sentiment_Silakan berikan saran dan masukan Anda terkait fasilitas Information Center kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Numeric_Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Numeric_Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Kebersihan, Kenyamanan, dan Kemudahan Akses Informasi-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Numeric_Kebersihan, Kenyamanan, dan Kemudahan Akses Informasi-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_1","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_2","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_3","Hal apa saja dari Kebersihan, Kenyamanan, dan Kemudahan Akses Informasi kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_4","Hal apa saja dari Kebersihan, Kenyamanan, dan Kemudahan Akses Informasi kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_5","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Trigger Time","Response Imports","Campaign Id"
"1","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Sangat seru dapat mengetahui lebih luas lagi tentang tmii","Visitor Information and Signage Clarity","Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memberikan informasi dengan jelas dan akurat|Memiliki penampilan yang bersih dan rapi|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas|Lainnya","Seruu",,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung|Lainnya","Seru",,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung|Lainnya","Seru",,,"7e85aeaa-0dba-4567-8f66-4665695d9648","Completed","New","01-02-2026 16:30:13","Anonymous","90195",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-02-01T09:28:42.2077Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"2","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","4","Satisfied","4","Agak ngumpet dan kurang kelihatan untuk penempatan pusat informasi nya ya","Visitor Information and Signage Clarity","Negative","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Lainnya","Ramah",,,"22263c88-ea1d-4235-a7b2-7c414c24a36e","Completed","New","01-02-2026 16:30:10","Anonymous","87213",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-02-01T09:28:43.8282Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"3","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","so exctdddd",,"Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"38216a77-bada-4686-813f-8272ccd75da8","Completed","New","01-02-2026 16:30:00","Anonymous","51553",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-02-01T09:29:08.0953Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"4","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Ok",,"Neutral","5","5","5","5","5","5","Memberikan informasi dengan jelas dan akurat",,,,"Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"6cc3c05b-ad7c-4497-8b2c-58b082538102","Completed","New","01-02-2026 16:29:53","Anonymous","49429",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-02-01T09:29:02.9244Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"5","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Seru dan sangat membantu","Visitor Information and Signage Clarity","Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"962bc9d8-6019-4c46-8cf3-1136c9ab8da5","Completed","New","01-02-2026 16:29:43","Anonymous","42632",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-02-01T09:29:01.1386Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"6","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Sangat jelas","Visitor Information and Signage Clarity","Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas|Lainnya","Bestt",,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"2b8fe37c-d235-4590-89d9-daae2f560bbe","Completed","New","01-02-2026 16:29:43","Anonymous","55808",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-02-01T09:28:47.7030Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"7","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5",,,,"5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"7ef54afc-5d23-491e-ac23-0dd4344d5a79","Completed","New","01-02-2026 16:29:16","Anonymous","25922",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-02-01T09:28:49.5889Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"8","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Kirain Jalan2 biasa, ternyata dijelasin juga, Best TMII.","Visitor Information and Signage Clarity","Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung|Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"7a5f5b94-d1a6-4016-93ca-2c1bdc52780c","Completed","New","01-02-2026 14:45:57","Anonymous","38325",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-02-01T07:45:19.1248Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"9","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Cukup bagus tour nya","Tourist Attraction and Cultural Experience Quality","Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"ac4cfecb-60ac-4f4e-ab70-7d82e11639aa","Completed","New","01-02-2026 14:45:17","Anonymous","27015",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-02-01T07:44:50.4631Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"10","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Ini ketiga kalinya ikut program ini, dan kedua kalinya dapet Kak vio. always Have fun banget, kak vio nya Posesif bgt untuk liatin kita biar gak tertinggal","Visitor Information and Signage Clarity","Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"292eea60-bd24-4a17-9991-40de0bed67f0","Completed","New","01-02-2026 14:44:48","Anonymous","68098",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-02-01T07:43:40.7090Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
