"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas {KETERANGAN FASILITAS} kami?","Group_Seberapa puas Bapak / Ibu terhadap fasilitas {KETERANGAN FASILITAS} kami?","Numeric_Seberapa puas Bapak / Ibu terhadap fasilitas {KETERANGAN FASILITAS} kami?","Silakan berikan saran dan masukan Anda terkait fasilitas {KETERANGAN FASILITAS} kami (Opsional)","Tags_Silakan berikan saran dan masukan Anda terkait fasilitas {KETERANGAN FASILITAS} kami (Opsional)","Sentiment_Silakan berikan saran dan masukan Anda terkait fasilitas {KETERANGAN FASILITAS} kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di{KETERANGAN FASILITAS} kami","Numeric_Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di{KETERANGAN FASILITAS} kami","Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di{KETERANGAN FASILITAS} kami","Numeric_Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di{KETERANGAN FASILITAS} kami","Kebersihan, Kenyamanan, dan Keamanan-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di{KETERANGAN FASILITAS} kami","Numeric_Kebersihan, Kenyamanan, dan Keamanan-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di{KETERANGAN FASILITAS} kami","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_1","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_2","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_3","Hal apa saja dari Kebersihan, Kenyamanan, dan Keamanan kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_4","Hal apa saja dari Kebersihan, Kenyamanan, dan Keamanan kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_5","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Trigger Time","Response Imports","Campaign Id"
"1","IDM","PRAMBANAN","PUBLIC","Museum","IDM-PRAMBANAN-PUBLIC-Museum-01","5","Satisfied","5","Cukup baik","Overall Facility Environment and Atmosphere",,"5","5",,,,,"Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,,,,,,,,,"46b43028-24bc-4786-97ae-d5eac9f7757f","Completed",,"09-09-2025 14:47:03",,"214474",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","156f07a0-1ac8-46eb-bc99-89923ffd11d0","14",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"2","IDM","PRAMBANAN","PUBLIC","Museum","IDM-PRAMBANAN-PUBLIC-Museum-01","3","Neutral","3","Wifi yg kurang luas jangkauanya","Wi-Fi Connectivity and Internet Access",,"3","3","3","3","3","3",,,"Memberikan informasi dengan kurang jelas dan akurat",,,,"Fasilitas  tidak tersedia atau sulit diakses",,,,"Fasilitas  kurang aman dan tidak memberikan rasa tenang bagi pengguna",,"c83eb2d9-f84a-4ce2-ad16-98070b472e66","Completed",,"09-09-2025 14:53:38",,"230523",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","156f07a0-1ac8-46eb-bc99-89923ffd11d0","14",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"3","IDM","PRAMBANAN","PUBLIC","Museum","IDM-PRAMBANAN-PUBLIC-Museum-01","3","Neutral","3","Dalam ruang gedung musium Acnya banyak yang mati","Facility Maintenance and Functionality",,,,"3","3",,,,,,,,,"Fasilitas  tidak tersedia atau sulit diakses",,,,,,"24bc12e7-288b-4fc8-a950-1bfc8159f78d","Completed",,"09-09-2025 14:56:07",,"339945",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","156f07a0-1ac8-46eb-bc99-89923ffd11d0","14",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"4","IDM","PRAMBANAN","PUBLIC","Guide Ticket Counter","IDM-PRAMBANAN-PUBLIC-Guide Ticket Counter-01","4","Satisfied","4","Very good","Overall Facility Environment and Atmosphere",,"4","4","4","4","4","4","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat",,,,"Fasilitas  lengkap dan mendukung kebutuhan pengguna|Fasilitas  tersedia dengan baik dan mudah diakses",,,,"Fasilitas  nyaman digunakan oleh pengguna",,,,"a4d60736-0813-431b-b96d-83e7f082fdf8","Completed",,"26-09-2025 08:57:23",,"134070",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","156f07a0-1ac8-46eb-bc99-89923ffd11d0","14",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"5","IDM","PRAMBANAN","PUBLIC","Ruang Tunggu Shuttle","IDM-PRAMBANAN-PUBLIC-Ruang Tunggu Shuttle-01","5","Satisfied","5",,,,"5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas  lengkap dan mendukung kebutuhan pengguna|Fasilitas  tersedia dengan baik dan mudah diakses",,,,"Fasilitas  bersih dan terawat|Fasilitas  nyaman digunakan oleh pengguna",,,,"4a1b962e-4950-439e-b1eb-5861d164f722","Completed",,"27-09-2025 12:35:48",,"45170",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","156f07a0-1ac8-46eb-bc99-89923ffd11d0","14",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"6","IDM","PRAMBANAN","PUBLIC","Ruang Tunggu Shuttle","IDM-PRAMBANAN-PUBLIC-Ruang Tunggu Shuttle-01","5","Satisfied","5",,,,"5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas  lengkap dan mendukung kebutuhan pengguna|Fasilitas  tersedia dengan baik dan mudah diakses",,,,"Fasilitas  bersih dan terawat|Fasilitas  nyaman digunakan oleh pengguna",,,,"0669d662-cd45-4c38-910f-63849c3f4990","Completed",,"11-10-2025 08:20:06",,"299677",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","156f07a0-1ac8-46eb-bc99-89923ffd11d0","14",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"7","IDM","PRAMBANAN","PUBLIC","Ruang Tunggu Shuttle","IDM-PRAMBANAN-PUBLIC-Ruang Tunggu Shuttle-01","5","Satisfied","5","Mesin minuman tidak berfungsi, kita sudah membayar tapi tidak mendapatkan productnya","Facility Maintenance and Functionality","Negative","5","5","5","5","5","5","Memberikan informasi dengan jelas dan akurat|Memiliki penampilan yang bersih dan rapi|Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)",,,,"Fasilitas  tersedia dengan baik dan mudah diakses|Fasilitas  lengkap dan mendukung kebutuhan pengguna",,,,"Fasilitas  bersih dan terawat|Fasilitas  nyaman digunakan oleh pengguna",,,,"737aec9c-2cb2-4f3b-807b-4011507af23a","Completed","New","25-11-2025 10:44:33","Anonymous","138990",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","156f07a0-1ac8-46eb-bc99-89923ffd11d0",,,"true","False","QrCode","Bahasa","2025-11-25T03:42:14.2846Z",,,,,,,,,,,,,,,"68b5aa8a1f3cc3c03afa5790"
"8","IDM","PRAMBANAN","PUBLIC","Ruang Tunggu Shuttle","IDM-PRAMBANAN-PUBLIC-Ruang Tunggu Shuttle-01","5","Satisfied","5","Ruang tunggu shuttle sejuk, pegawai nya ramah-ramah dan humbel .","Cleanliness and Comfort of Waiting Areas|Staff Friendliness and Service Quality","Positive","4","4","4","4","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)",,,,"Fasilitas  tersedia dengan baik dan mudah diakses",,,,"Fasilitas  bersih dan terawat",,,,"1eb068b7-d717-4d6a-9079-12bfef68610d","Completed","New","20-11-2025 11:40:23","Anonymous","236038",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","156f07a0-1ac8-46eb-bc99-89923ffd11d0",,,"true","False","QrCode","Bahasa","2025-11-20T04:36:27.9255Z",,,,,,,,,,,,,,,"68b5aa8a1f3cc3c03afa5790"
"9","IDM","PRAMBANAN","PUBLIC","Ruang Tunggu Shuttle","IDM-PRAMBANAN-PUBLIC-Ruang Tunggu Shuttle-01","2","Not Satisfied","2","Tolong sediakan tempat khusus untuk perokok, tolong ingat kan karyawan atau petugas untuk tidak merokok sembarangan di tempat umum, terutama di dekat anak kecil.","Availability of Smoking Areas and Non-Smoking Policies","Neutral","4","4","2","2","2","2","Lainnya","Fasilitas smoking area, dan peringatan dilarang merokok",,,,,"Fasilitas  kurang lengkap dan belum memenuhi kebutuhan pengguna",,,,"Fasilitas  kurang aman dan tidak memberikan rasa tenang bagi pengguna",,"193153c3-dac5-43c4-9c4c-06d6bf5a0861","Completed","New","20-11-2025 11:17:20","Anonymous","328629",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","156f07a0-1ac8-46eb-bc99-89923ffd11d0",,,"true","False","QrCode","Bahasa","2025-11-20T04:11:52.0201Z",,,,,,,,,,,,,,,"68b5aa8a1f3cc3c03afa5790"
"10","IDM","PRAMBANAN","PUBLIC","Information Centre","IDM-PRAMBANAN-PUBLIC-Information Centre-01","3","Neutral","3",,,,"3","3","3","3","3","3",,,"Tidak membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas  tidak tersedia atau sulit diakses",,,,"Fasilitas  kurang nyaman digunakan oleh pengguna",,"23dd49f6-df0f-45e4-8202-845f77748bfc","Completed","New","25-10-2025 15:42:57","Anonymous","89469",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","156f07a0-1ac8-46eb-bc99-89923ffd11d0",,,"true","False","QrCode","Bahasa","2025-10-25T08:41:26.8834Z",,,,,,,,,,,,,,,"68b5aa8a1f3cc3c03afa5790"
