"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap layanan Information Center kami?","Group_Seberapa puas Bapak / Ibu terhadap layanan Information Center kami?","Numeric_Seberapa puas Bapak / Ibu terhadap layanan Information Center kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Information Center kami (Opsional)","Tags_Silakan berikan saran dan masukan Anda terkait fasilitas Information Center kami (Opsional)","Sentiment_Silakan berikan saran dan masukan Anda terkait fasilitas Information Center kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Numeric_Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Numeric_Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Kebersihan, Kenyamanan, dan Kemudahan Akses Informasi-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Numeric_Kebersihan, Kenyamanan, dan Kemudahan Akses Informasi-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_1","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_2","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_3","Hal apa saja dari Kebersihan, Kenyamanan, dan Kemudahan Akses Informasi kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_4","Hal apa saja dari Kebersihan, Kenyamanan, dan Kemudahan Akses Informasi kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_5","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Trigger Time","Response Imports","Campaign Id"
"1","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","sangat baik dan ramah sekali..","Staff Friendliness and Service Quality","Positive","4","4","5","5","4","4","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)",,,,"Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"45b99b3b-d2f6-432e-88b2-55dcaeb52d65","Completed","New","24-12-2025 16:36:59","Anonymous","64872",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2025-12-24T09:35:55.1148Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"2","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","sangat seru",,"Positive","4","4","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung",,,,"Pusat informasi nyaman digunakan oleh pengunjung",,,,"8edc10fd-61dc-45c3-a16f-a8b7dae8e2c9","Completed","New","24-12-2025 16:37:01","Anonymous","77466",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2025-12-24T09:35:44.7015Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"3","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5",,,,"5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"5b6236ff-e3d2-44c0-88c6-b270748c7390","Completed","New","24-12-2025 16:25:29","Anonymous","40134",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2025-12-24T09:24:48.7844Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"4","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5",,,,"5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung|Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"79004b54-743c-48f5-baa1-ccbb7c758c7a","Completed","New","24-12-2025 16:18:50","Anonymous","43953",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2025-12-24T09:18:05.8498Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"5","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5",,,,"5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"ceff3a79-cbab-44f3-96b7-c181c1a70d1d","Completed","New","24-12-2025 15:41:59","Anonymous","206242",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2025-12-24T08:38:32.1194Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"6","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","4","Satisfied","4","sangat baik","Visitor Information and Signage Clarity","Positive","4","4","4","4","4","4","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"aaa17f6d-bf60-48ec-9e89-85e6d79e2e86","Completed","New","24-12-2025 15:41:50","Anonymous","109098",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","English","2025-12-24T08:40:00.7072Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"7","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","so far so good",,"Positive","5","5","5","5","4","4","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"783e58c3-6c3e-49ee-8983-8f3e63460e3e","Completed","New","24-12-2025 15:41:31","Anonymous","132247",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2025-12-24T08:39:20.1311Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"8","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5",,,,"5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat",,,,"Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung|Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung",,,,"Pusat informasi nyaman digunakan oleh pengunjung",,,,"dfa39b02-82b7-4dda-bd66-5f60643cf0e6","Completed","New","24-12-2025 15:41:02","Anonymous","137971",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2025-12-24T08:38:44.6074Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"9","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Tidak ada saran dan masukan, pelayanannya sudah baik","Staff Friendliness and Service Quality","Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"afe57e8e-ae20-4b53-8d59-729f062e78a8","Completed","New","24-12-2025 13:36:01","Anonymous","77110",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2025-12-24T06:34:42.3859Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"10","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","ms gina really do great job, im from brazil just wanna se komodo dragon, and she help me to call a taxi.","Staff Friendliness and Service Quality","Positive","4","4","4","4","4","4","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"1af4a2de-fdef-47bb-a750-152816792688","Completed","New","24-12-2025 11:14:18","Anonymous","89795",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","English","2025-12-24T04:12:49.0679Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
