"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap layanan kuliner {KETERANGAN FASILITAS} kami?","Group_Seberapa puas Bapak / Ibu terhadap layanan kuliner {KETERANGAN FASILITAS} kami?","Numeric_Seberapa puas Bapak / Ibu terhadap layanan kuliner {KETERANGAN FASILITAS} kami?","Silakan berikan saran dan masukan Anda terkait {KETERANGAN FASILITAS}  kami (Opsional)","Tags_Silakan berikan saran dan masukan Anda terkait {KETERANGAN FASILITAS}  kami (Opsional)","Sentiment_Silakan berikan saran dan masukan Anda terkait {KETERANGAN FASILITAS}  kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di {KETERANGAN FASILITAS} kami","Numeric_Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di {KETERANGAN FASILITAS} kami","Kelengkapan fasilitas, Ketersediaan, Rasa dan Kualitas Produk-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di {KETERANGAN FASILITAS} kami","Numeric_Kelengkapan fasilitas, Ketersediaan, Rasa dan Kualitas Produk-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di {KETERANGAN FASILITAS} kami","Kebersihan, Kenyamanan, dan Opsi Pembayaran-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di {KETERANGAN FASILITAS} kami","Numeric_Kebersihan, Kenyamanan, dan Opsi Pembayaran-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di {KETERANGAN FASILITAS} kami","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_1","Hal apa saja dari Kelengkapan fasilitas, Ketersediaan, Rasa dan Kualitas Produk kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_2","Hal apa saja dari Kelengkapan fasilitas, Ketersediaan, Rasa dan Kualitas Produk kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_3","Hal apa saja dari Kebersihan, Kenyamanan, dan Opsi Pembayaran kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_4","Hal apa saja dari Kebersihan, Kenyamanan, dan Opsi Pembayaran kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_5","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Trigger Time","Response Imports","Campaign Id"
"1","IDM","PRAMBANAN","CULINARY",,,"5","Satisfied","5","Sangat bagus","Positive Feedback and Appreciation",,"5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas lengkap dan mendukung kebutuhan pengunjung|Rasa serta kualitas produk baik dan sesuai harapan pengunjung",,,,"Tempat bersih dan terawat dengan baik|Lingkungan nyaman dan mendukung aktivitas pengguna|Tersedia berbagai opsi pembayaran yang memudahkan transaksi",,,,"eceb53a0-cac3-4838-bf0c-fa9b5d942b20","Completed",,"11-09-2025 14:05:16",,"217518",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","a2efb391-35d9-4024-989c-2fff10bf222e","14",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-1",
"2","IDM","PRAMBANAN","CULINARY",,,"5","Satisfied","5","Sangat baik dan bagus saya sukaa","Positive Feedback and Appreciation",,"5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas lengkap dan mendukung kebutuhan pengunjung|Rasa serta kualitas produk baik dan sesuai harapan pengunjung",,,,"Tempat bersih dan terawat dengan baik|Lingkungan nyaman dan mendukung aktivitas pengguna|Tersedia berbagai opsi pembayaran yang memudahkan transaksi",,,,"ed766098-2750-4067-b0ab-b53b5c8fa178","Completed",,"11-09-2025 14:07:00",,"71087",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","a2efb391-35d9-4024-989c-2fff10bf222e","14",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-1",
"3","IDM","PRAMBANAN","CULINARY","Resto","IDM-PRAMBANAN-CULINARY-Resto-01","4","Satisfied","4",,,,"4","4","4","4","4","4","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)",,,,,,,,"Tersedia berbagai opsi pembayaran yang memudahkan transaksi",,,,"d5a49b58-af1c-44bd-af7e-87a0cd354575","Completed",,"12-09-2025 15:13:07",,"93033",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","a2efb391-35d9-4024-989c-2fff10bf222e","14",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-1",
"4","IDM","PRAMBANAN","CULINARY",,,"5","Satisfied","5","Bagus pelayanan baik dan ramah","Service Quality and Staff Behavior",,"5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas lengkap dan mendukung kebutuhan pengunjung|Rasa serta kualitas produk baik dan sesuai harapan pengunjung",,,,"Tempat bersih dan terawat dengan baik|Lingkungan nyaman dan mendukung aktivitas pengguna|Tersedia berbagai opsi pembayaran yang memudahkan transaksi",,,,"cbd8b6df-0f54-46e7-b2bd-7e09bef410ef","Completed",,"14-09-2025 11:50:20",,"211287",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","a2efb391-35d9-4024-989c-2fff10bf222e","14",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-1",
"5","IDM","PRAMBANAN","CULINARY",,,"5","Satisfied","5","Pelayanan baik dan ramah puas","Service Quality and Staff Behavior",,"5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas lengkap dan mendukung kebutuhan pengunjung|Rasa serta kualitas produk baik dan sesuai harapan pengunjung",,,,"Tempat bersih dan terawat dengan baik|Lingkungan nyaman dan mendukung aktivitas pengguna|Tersedia berbagai opsi pembayaran yang memudahkan transaksi",,,,"f5233492-8265-4804-853c-b2978e197e0d","Completed",,"15-09-2025 16:43:28",,"140111",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","a2efb391-35d9-4024-989c-2fff10bf222e","14",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-1",
"6","IDM","PRAMBANAN","CULINARY",,,"5","Satisfied","5","Baguss sekali","Positive Feedback and Appreciation",,"5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Memiliki penampilan yang bersih dan rapi|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas lengkap dan mendukung kebutuhan pengunjung|Rasa serta kualitas produk baik dan sesuai harapan pengunjung",,,,"Tempat bersih dan terawat dengan baik|Lingkungan nyaman dan mendukung aktivitas pengguna|Tersedia berbagai opsi pembayaran yang memudahkan transaksi",,,,"07bab188-6e73-4898-b443-c499da0ca2df","Completed",,"18-09-2025 13:15:41",,"39559",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","a2efb391-35d9-4024-989c-2fff10bf222e","14",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-1",
"7","IDM","PRAMBANAN","CULINARY",,,"5","Satisfied","5","Awesome","Positive Feedback and Appreciation",,"5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas lengkap dan mendukung kebutuhan pengunjung|Rasa serta kualitas produk baik dan sesuai harapan pengunjung",,,,"Tempat bersih dan terawat dengan baik|Tersedia berbagai opsi pembayaran yang memudahkan transaksi|Lingkungan nyaman dan mendukung aktivitas pengguna",,,,"1e953ab5-eb16-44c1-a634-c3c48fcbe7f6","Completed",,"18-09-2025 15:37:41",,"30686",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","a2efb391-35d9-4024-989c-2fff10bf222e","14",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-1",
"8","IDM","PRAMBANAN","CULINARY","Gelato","IDM-PRAMBANAN-CULINARY-Gelato-01","5","Satisfied","5","good","Positive Feedback and Appreciation",,"5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)",,,,"Fasilitas lengkap dan mendukung kebutuhan pengunjung|Rasa serta kualitas produk baik dan sesuai harapan pengunjung",,,,"Tempat bersih dan terawat dengan baik|Lingkungan nyaman dan mendukung aktivitas pengguna|Tersedia berbagai opsi pembayaran yang memudahkan transaksi",,,,"949956c7-8cd9-4096-b424-db6ac13ed49d","Completed",,"20-09-2025 06:59:33",,"124026",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","a2efb391-35d9-4024-989c-2fff10bf222e","14",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-1",
"9","IDM","PRAMBANAN","CULINARY","Gelato","IDM-PRAMBANAN-CULINARY-Gelato-01","4","Satisfied","4","Ramah dan kenyamanan 🙂🙂","Hospitality and Comfort",,"4","4",,,"4","4","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)",,,,,,,,"Lingkungan nyaman dan mendukung aktivitas pengguna",,,,"c9f4e3ea-ee89-4a23-a5c3-5d1856464c3b","Completed",,"25-09-2025 11:16:16",,"367698",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","a2efb391-35d9-4024-989c-2fff10bf222e","14",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-1",
"10","IDM","PRAMBANAN","CULINARY","Chocolate & Coffee","IDM-PRAMBANAN-CULINARY-Chocolate & Coffee-01","5","Satisfied","5","Bagus nih","Positive Feedback and Appreciation",,"5","5","5","5","5","5","Melayani dengan cepat dan tepat|Memberikan informasi dengan jelas dan akurat",,,,"Rasa serta kualitas produk baik dan sesuai harapan pengunjung",,,,"Lingkungan nyaman dan mendukung aktivitas pengguna|Tersedia berbagai opsi pembayaran yang memudahkan transaksi|Tempat bersih dan terawat dengan baik",,,,"8ba0ec27-e374-4943-bec0-b915d4dc3722","Completed",,"10-10-2025 10:27:11",,"85929",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","a2efb391-35d9-4024-989c-2fff10bf222e","14",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-1",
