"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap layanan Information Center kami?","Group_Seberapa puas Bapak / Ibu terhadap layanan Information Center kami?","Numeric_Seberapa puas Bapak / Ibu terhadap layanan Information Center kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Information Center kami (Opsional)","Tags_Silakan berikan saran dan masukan Anda terkait fasilitas Information Center kami (Opsional)","Sentiment_Silakan berikan saran dan masukan Anda terkait fasilitas Information Center kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Numeric_Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Numeric_Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Kebersihan, Kenyamanan, dan Kemudahan Akses Informasi-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Numeric_Kebersihan, Kenyamanan, dan Kemudahan Akses Informasi-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Information Center kami","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_1","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_2","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_3","Hal apa saja dari Kebersihan, Kenyamanan, dan Kemudahan Akses Informasi kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_4","Hal apa saja dari Kebersihan, Kenyamanan, dan Kemudahan Akses Informasi kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_5","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Trigger Time","Response Imports","Campaign Id"
"1","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Goodd",,"Neutral","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik",,,,"79244443-682d-461c-9f27-741b7621bb01","Completed","New","16-01-2026 16:34:29","Anonymous","24297",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-16T09:34:05.1947Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"2","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Sudah cukup",,"Neutral","5","5","5","5","5","5","Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas|Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"7349cc48-b511-4bfe-8b18-595bad8375e7","Completed","New","16-01-2026 16:33:12","Anonymous","73860",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-16T09:31:58.2004Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"3","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Tidak ada",,"Neutral","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memberikan informasi dengan jelas dan akurat",,,,"Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung|Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung",,,,"eae50882-cad7-4eed-901a-df9883c557c7","Completed","New","16-01-2026 16:32:41","Anonymous","52739",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-16T09:31:49.4127Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"4","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","-",,"Neutral","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"e0069d65-2a69-4caf-b462-d32d773b696c","Completed","New","16-01-2026 16:32:36","Anonymous","29537",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-16T09:32:06.6378Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"5","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","pelayanan nya bagus, stafnya ramah banget. seru ikut free tour bicycle nya 💗💗","Staff Friendliness and Service Quality","Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"91875f82-e2e9-4118-8845-2cff36a51b29","Completed","New","16-01-2026 16:32:39","Anonymous","50290",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-16T09:31:49.2428Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"6","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Lebih dipromosikan","Visitor Information and Signage Clarity","Neutral","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"63ef519a-bb06-4c05-a879-b9fd99f365f9","Completed","New","16-01-2026 16:32:35","Anonymous","46110",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-16T09:31:46.2199Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"7","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5",,,,"5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik",,,,"7332c3f6-ecc1-4805-9fa0-7b33198d6fe1","Completed","New","16-01-2026 16:32:26","Anonymous","29912",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-16T09:31:56.1654Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"8","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Tidak ada karena pelayanan sangat bagus",,"Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"7a228a32-4f1c-4baf-a2e4-249d7f7b99a9","Completed","New","16-01-2026 14:43:21","Anonymous","45607",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-16T07:42:34.8188Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"9","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5",,,,"5","5","5","5","5","5","Melayani dengan cepat dan tepat|Memberikan informasi dengan jelas dan akurat|Memiliki penampilan yang bersih dan rapi|Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"16487d88-7df7-44a3-812f-739ebed3bd7c","Completed","New","16-01-2026 14:42:58","Anonymous","22258",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-16T07:42:35.7310Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
"10","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01","5","Satisfied","5","Semoga kedepannya jok sepedanya bisa lebih tebel ya kak, selebihnya sudah oke dr guide dan sangat bermanfaat menambah ilmu","Visitor Information and Signage Clarity","Positive","5","5","5","5","5","5","Melakukan layanan secara profesional dan ramah (menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati)|Memiliki penampilan yang bersih dan rapi|Memberikan informasi dengan jelas dan akurat|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Fasilitas pusat informasi lengkap dan mendukung kebutuhan pengunjung|Fasilitas pusat informasi tersedia dengan baik dan mudah diakses oleh pengunjung",,,,"Pusat informasi bersih dan tertata dengan baik|Pusat informasi nyaman digunakan oleh pengunjung|Informasi mudah diakses dan disampaikan dengan jelas kepada pengunjung",,,,"cdcaf83f-cc29-4d83-8d9a-aff222e897c0","Completed","New","16-01-2026 14:42:55","Anonymous","89647",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","1eb4a3f0-5e3d-4ac9-b813-8b1a562e7235",,,"true","False","QrCode","Bahasa","2026-01-16T07:41:25.1372Z",,,,,,,,,,,,,,,"68b5aaf51f3cc3c03afa57ae"
